# Go≡Rust EQUIVALENCE-MODE manifest — the SINGLE SOURCE OF TRUTH for HOW
# build-sweep proves each example's Rust output matches Go. Consumed by
# build-sweep.sh (per-example equiv mode) and gated for coverage by
# build-sweep.sh + keep-go-parity.sh.
#
# EVERY top-level dir under examples/ MUST appear here exactly once, PLUS each
# build_set member that lives below a top-level dir (examples/rust/skyshop-rs).
# An example present on disk but absent here is "unclassified" → build-sweep
# FAILS and "Go parity maintained" CANNOT be claimed (forced-classification).
#
# Format:  <example>  <mode>  <reason>
#   The <example> key is the build_set BASENAME (e.g. skyshop-rs, NOT rust) for
#   in-scope examples, and the top-level dir name for out-of-scope / non-building
#   ones (so the coverage gate sees every examples/ dir).
#
# Modes — each names exactly WHAT is proven (the build-sweep scoreboard bins
# match these, so a reader never over-reads "equiv"):
#   stdout    cli, deterministic + backend-independent stdout → run BOTH backends,
#             DIFF normalized stdout. equiv-stdout = byte-identical (strongest).
#   scenario  live → run the SAME web-verify browser scenario against BOTH
#             binaries. equiv-scenario = both pass the scenario (APP behaviour
#             parity — robust to the by-design console in-process(Go) vs
#             cross-process(Rust) divergence; NOT a raw-DOM diff).
#   serve     server → boot BOTH. equiv-serve = both serve HTTP (NOT response-body
#             identical — just that both listeners come up).
#   pty       tui → pty smoke BOTH. equiv-pty = both drive the TUI runtime without
#             panic (NOT cell-identical rendering — an honest floor for a TTY app).
#   none      genuinely incomparable: Rust build only → `builds`. Reasons: webview
#             (opens a window, no comparable output), Go-FFI (does not build on
#             --target rust — nothing to compare), no single entry point, or a
#             non-deterministic cli (timestamps / Dict-iteration order).
#
# When a new example lands, CLASSIFY IT here with its natural mode (derive from
# example_shape) + a reason. Do not leave it unclassified.

# ── stdout: deterministic cli — DIFF normalized stdout on both backends ──────
01-hello-world          stdout    plain deterministic output
04-local-pkg            stdout    multi-module; deterministic
06-json                 stdout    encode/decode; object key order is _fieldIndex-stable on both backends
14-task-demo            stdout    sequential Task andThen/fail/run; deterministic
20-cli-counter          stdout    arg/stdin-driven; on </dev/null both backends print the same no-arg output
simple                  stdout    task_sequence/parallel — results collected then printed in order
test_pkg                stdout    Result/Maybe combinators; deterministic

# ── scenario: Sky.Live — run the SAME browser scenario against both binaries ──
09-live-counter         scenario  Sky.Live counter; both backends must pass the live-counter round-trip
10-live-component       scenario  Sky.Live; both backends must pass the smoke round-trip
12-skyvote              scenario  Sky.Live; both backends must pass the skyvote scenario
16-skychess             scenario  Sky.Live; both backends must pass the skychess scenario
17-skymon               scenario  Sky.Live; both backends must pass the skymon scenario
18-job-queue            scenario  Sky.Live; both backends must pass the job-queue scenario
19-skyforum             scenario  Sky.Live; both backends must pass the skyforum scenario
25-sky-console          scenario  Sky.Live console; scenario asserts APP behaviour (console in-process Go vs cross-process Rust is by design, NOT diffed)
26-ui-showcase          scenario  Sky.Live; both backends must pass the smoke round-trip
27-multi-session-chat   scenario  Sky.Live; both backends must pass the smoke round-trip
28-streaming-chat       scenario  Sky.Live; both backends must pass the smoke round-trip
34-multi-tier-console   scenario  Sky.Live multi-tier; scenario asserts APP behaviour (console plumbing by-design divergence is NOT diffed)
37-composite-live-shop  scenario  Sky.Live; both backends must pass the smoke round-trip

# ── serve: headless HTTP server — both must boot + serve ─────────────────────
15-http-server          serve     server; both backends must boot + serve an HTTP status
30-sse-server-demo      serve     server (SSE stream); both backends must boot + serve
32-sse-relay            serve     server (SSE relay); both backends must boot + serve
33-websocket-echo       serve     server (WebSocket); both backends must boot + serve
36-composite-server     serve     server; both backends must boot + serve (needs SKY_AUTH_TOKEN_SECRET; checks.sh provides it)

# ── pty: Sky.Tui — both must drive the TUI runtime without panic ─────────────
21-tui-stopwatch        pty       Sky.Tui; both backends drive the pty smoke without panic (NOT cell-identical)
22-tui-stopwatch-ui     pty       Sky.Tui; both backends drive the pty smoke without panic
23-tui-todo             pty       Sky.Tui; both backends drive the pty smoke without panic
24-tui-kitchen-sink     pty       Sky.Tui; both backends drive the pty smoke without panic
